"pid","edu_comp_age_1_1","edu_comp_age_2_1","edu_qual_1_m","housing_income_1_1","work_distance_1_1","work_manual_labour_1_1","work_nights_1_1","work_shifts_1_1","work_status_1_m","work_status_2_m","work_transport_1_m","work_walk_stand_1_1","work_wk_hrs_1_1","work_wk_travel_1_1","work_yrs_1_1"
"DF769678","Still in full time education","Still in full time education","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","35","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed; Retired","Car or motor vehicle","Sometimes","2.0","28","61"
"DV180935","Never went to school","Do not know","Other professional qualifications e.g., nursing, teaching","Less than £18,000","2",NA,NA,NA,NA,"Retired",NA,NA,"4.5","69","24"
"VL559689","Never went to school","Prefer not to answer","Prefer not to answer","Less than £18,000","5","Never/rarely","Usually","Sometimes",NA,"Looking after home and/or family","Car or motor vehicle","Sometimes","7.8","96","23"
"RG924737","Still in full time education","Still in full time education","Prefer not to answer","Less than £18,000","10","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","5.9","75","74"
"ML444963","Do not know","Do not know","CSEs or equivalent","£31,000 to £51,999","57","Never/rarely","Sometimes","Sometimes",NA,"Retired; Looking after home and/or family","Car or motor vehicle","Sometimes","15.2","25","31"
"EE554544","Prefer not to answer","Never went to school","O levels/GCSEs or equivalent","£31,000 to £51,999","41","Never/rarely","Prefer not to answer","Sometimes",NA,"On paid leave (e.g., maternity/paternity/sick leave)","Car or motor vehicle","Never/rarely","16.5","40","43"
"DR872470","Still in full time education","Never went to school","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","43",NA,NA,NA,NA,"Retired; Unemployed",NA,NA,"0.5","31","1"
"BG301394","Prefer not to answer","Still in full time education","Prefer not to answer","£31,000 to £51,999","55","Never/rarely","Sometimes","Usually",NA,"In paid employment or self-employed","Train","Prefer not to answer","16.4","56","35"
"XM528552","Still in full time education","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","Less than £18,000","6","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Sometimes","10.8","79","53"
"RZ284340","Do not know","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","47","Never/rarely","Usually","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","8.4","75","59"
"CV789514","Never went to school","Do not know","None of the above","£52,000 to £100,000","24",NA,NA,NA,NA,"Full or part-time student",NA,NA,"20.3","51","76"
"XB143873","Still in full time education","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","83",NA,NA,NA,NA,"Retired",NA,NA,"21.1","3","35"
"WC333350","Never went to school","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","10","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed; Retired","Car or motor vehicle","Never/rarely","16.1","2","34"
"QA128483","Do not know","Never went to school","O levels/GCSEs or equivalent","£31,000 to £51,999","96","Usually","Sometimes","Always",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","4.6","37","41"
"UO950546","Do not know","Do not know","NVQ or HND or HNC or equivalent","£31,000 to £51,999","48","Usually","Sometimes","Sometimes",NA,"In paid employment or self-employed","Bus or coach","Sometimes","11.7","35","13"
"ZT119547","Never went to school","Never went to school","CSEs or equivalent","Greater than £100,000","28","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Never/rarely","13.3","79","72"
"RK120899","Never went to school","Still in full time education","A levels/AS levels/BTEC or equivalent","£52,000 to £100,000","62","Never/rarely","Sometimes","Sometimes",NA,"In paid employment or self-employed","Work from home","Usually","6.1","23","72"
"FI628289","Still in full time education","Prefer not to answer","Prefer not to answer","£31,000 to £51,999","22","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Do not know","16.3","28","57"
"FV787068","Never went to school","Do not know","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","67",NA,NA,NA,NA,"None of the above",NA,NA,"11.5","40","17"
"BJ743128","Do not know","Still in full time education","O levels/GCSEs or equivalent","£18,000 to £30,999","11","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","19.6","25","21"
"TG363399","Still in full time education","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","43","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","18.8","16","11"
"CS257369","Never went to school","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","61","Usually","Prefer not to answer","Usually",NA,"Looking after home and/or family","Bus or coach","Sometimes","4.2","78","31"
"VR894209","Still in full time education","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","58","Never/rarely","Sometimes","Always",NA,"In paid employment or self-employed","Train","Always","11.1","2","14"
"UY553859","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","£18,000 to £30,999","17",NA,NA,NA,NA,"Retired",NA,NA,"3.5","58","15"
"BL684106","Still in full time education","Still in full time education","O levels/GCSEs or equivalent","Less than £18,000","1","Never/rarely","Always","Sometimes",NA,"Doing unpaid or voluntary work","Walk","Usually","0.9","43","19"
"WJ862249","Prefer not to answer","Prefer not to answer","NVQ or HND or HNC or equivalent","Less than £18,000","37","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","17.7","54","17"
"FI768000","Do not know","Still in full time education","CSEs or equivalent","£31,000 to £51,999","26",NA,NA,NA,NA,"Retired; Full or part-time student",NA,NA,"6.8","4","79"
"ZS970270","Do not know","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","Greater than £100,000","54","Prefer not to answer",NA,"Never/rarely",NA,"In paid employment or self-employed","Cycle","Never/rarely","15.3","20","49"
"JO337625","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","£52,000 to £100,000","31",NA,NA,NA,NA,"Prefer not to answer",NA,NA,"17.5","83","13"
"HN387199","Still in full time education","Prefer not to answer","CSEs or equivalent","£31,000 to £51,999","12","Never/rarely","Do not know","Always",NA,"In paid employment or self-employed; Full or part-time student","Car or motor vehicle","Sometimes","12.2","49","25"
"EW846474","Prefer not to answer","Do not know","Prefer not to answer","£31,000 to £51,999","38","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","4.5","51","32"
"AC630589","Never went to school","Still in full time education","O levels/GCSEs or equivalent","£31,000 to £51,999","100",NA,NA,NA,NA,"Full or part-time student",NA,NA,"14.4","79","53"
"QV257348","Never went to school","Never went to school","O levels/GCSEs or equivalent","Less than £18,000","71","Usually","Sometimes","Sometimes",NA,"In paid employment or self-employed","Walk","Sometimes","15.9","44","46"
"GT399361","Never went to school","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","74","Never/rarely",NA,"Never/rarely",NA,"Looking after home and/or family","Cycle","Never/rarely","16.1","17","49"
"DJ646786","Still in full time education","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£18,000 to £30,999","54","Never/rarely","Never/rarely","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","22.1","36","57"
"MB594251","Never went to school","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","48","Usually",NA,"Never/rarely",NA,"On paid leave (e.g., maternity/paternity/sick leave)","Car or motor vehicle","Never/rarely","6.5","96","15"
"JW190106","Do not know","Prefer not to answer","CSEs or equivalent","£18,000 to £30,999","90","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","17.4","8","7"
"IQ620828","Never went to school","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent","£52,000 to £100,000","10","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed; Full or part-time student","Bus or coach","Never/rarely","7.7","100","78"
"LR870863","Never went to school","Never went to school","NVQ or HND or HNC or equivalent","£52,000 to £100,000","50","Sometimes",NA,"Do not know",NA,"In paid employment or self-employed","Train","Usually","6.5","84","70"
"TS230973","Prefer not to answer","Never went to school","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","34",NA,NA,NA,NA,"Unable to work because of sickness or disability; Full or part-time student",NA,NA,"12.5","47","26"
"IN441657","Do not know","Do not know","Prefer not to answer","£31,000 to £51,999","23","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","12.9","37","40"
"KQ151923","Prefer not to answer","Never went to school","Prefer not to answer","£52,000 to £100,000","47","Never/rarely","Never/rarely","Sometimes",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","18.4","100","23"
"CJ992487","Still in full time education","Prefer not to answer","O levels/GCSEs or equivalent","£18,000 to £30,999","78","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Usually","6.5","74","42"
"PE240206","Prefer not to answer","Never went to school","Prefer not to answer","Less than £18,000","6",NA,NA,NA,NA,"None of the above",NA,NA,"4.4","65","65"
"EM634585","Prefer not to answer","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent","Less than £18,000","58",NA,NA,NA,NA,"Unemployed",NA,NA,"22.5","3","79"
"XR459522","Never went to school","Do not know","CSEs or equivalent","£18,000 to £30,999","3",NA,NA,NA,NA,"Unable to work because of sickness or disability",NA,NA,"15.1","12","8"
"NS159293","Still in full time education","Never went to school","Prefer not to answer","£18,000 to £30,999","50","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","18.2","73","69"
"ES821960","Do not know","Never went to school","CSEs or equivalent","£52,000 to £100,000","6","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Always","6.8","72","51"
"VJ115850","Never went to school","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£18,000 to £30,999","95","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","4.5","40","50"
"BP460211","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","£31,000 to £51,999","0","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","6.2","69","33"
"RB956712","Do not know","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","Less than £18,000","23",NA,NA,NA,NA,"Retired",NA,NA,"23.2","63","31"
"XZ870462","Still in full time education","Never went to school","O levels/GCSEs or equivalent","£18,000 to £30,999","13","Sometimes",NA,"Prefer not to answer",NA,"Doing unpaid or voluntary work","Car or motor vehicle","Usually","17.4","99","44"
"QD559205","Prefer not to answer","Prefer not to answer","NVQ or HND or HNC or equivalent","£18,000 to £30,999","50","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","5.3","12","44"
"RY857397","Do not know","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","3",NA,NA,NA,NA,"Full or part-time student",NA,NA,"11.1","81","8"
"EZ122794","Still in full time education","Never went to school","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","76","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Other","Sometimes","12.7","79","77"
"NG775784","Prefer not to answer","Still in full time education","NVQ or HND or HNC or equivalent","£31,000 to £51,999","28",NA,NA,NA,NA,"None of the above",NA,NA,"8.3","30","40"
"HA190986","Do not know","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","49",NA,NA,NA,NA,"Unable to work because of sickness or disability; Full or part-time student",NA,NA,"9.8","50","10"
"WN271936","Prefer not to answer","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","28","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","21.0","22","47"
"HT798224","Prefer not to answer","Never went to school","A levels/AS levels/BTEC or equivalent","£31,000 to £51,999","69","Prefer not to answer","Sometimes","Usually",NA,"Looking after home and/or family; Retired","Walk","Usually","7.5","34","43"
"UV126919","Prefer not to answer","Do not know","CSEs or equivalent","£31,000 to £51,999","31",NA,NA,NA,NA,"Retired",NA,NA,"0.2","61","5"
"DS757137","Do not know","Never went to school","O levels/GCSEs or equivalent","£31,000 to £51,999","18","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","12.7","94","25"
"YL104918","Never went to school","Still in full time education","None of the above","Less than £18,000","1","Never/rarely","Always","Usually",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","16.8","94","14"
"DS432321","Do not know","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","Less than £18,000","53","Do not know","Usually","Sometimes",NA,"Doing unpaid or voluntary work","Walk","Never/rarely","22.7","90","46"
"GF126461","Prefer not to answer","Never went to school","NVQ or HND or HNC or equivalent","Greater than £100,000","7","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Always","15.4","60","39"
"JL664022","Never went to school","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","51","Always",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","7.9","59","29"
"RY169435","Do not know","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","Prefer not to answer","88","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","23.8","45","51"
"MJ316014","Prefer not to answer","Do not know","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","69",NA,NA,NA,NA,"Retired",NA,NA,"7.5","31","34"
"UG539949","Prefer not to answer","Prefer not to answer","CSEs or equivalent","Prefer not to answer","14","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed; Looking after home and/or family","Car or motor vehicle","Always","13.1","52","80"
"VS717954","Still in full time education","Never went to school","O levels/GCSEs or equivalent","Less than £18,000","23",NA,NA,NA,NA,"Full or part-time student",NA,NA,"2.2","99","76"
"SY522980","Never went to school","Still in full time education","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","51","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Always","3.4","34","73"
"PB589637","Prefer not to answer","Prefer not to answer","NVQ or HND or HNC or equivalent","£52,000 to £100,000","19",NA,NA,NA,NA,"Retired",NA,NA,"19.3","25","7"
"VF420276","Do not know","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","28","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","13.5","57","33"
"QI673474","Still in full time education","Prefer not to answer","NVQ or HND or HNC or equivalent","Greater than £100,000","93",NA,NA,NA,NA,"Retired",NA,NA,"6.2","83","78"
"LX284520","Do not know","Still in full time education","Other professional qualifications e.g., nursing, teaching","£52,000 to £100,000","71","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","15.6","53","23"
"IK922362","Do not know","Still in full time education","Other professional qualifications e.g., nursing, teaching","Less than £18,000","45",NA,NA,NA,NA,"Unemployed",NA,NA,"5.7","28","35"
"YF918906","Prefer not to answer","Do not know","NVQ or HND or HNC or equivalent","Greater than £100,000","67",NA,NA,NA,NA,"Retired",NA,NA,"4.6","60","58"
"UE548809","Do not know","Do not know","NVQ or HND or HNC or equivalent","£31,000 to £51,999","16","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Train","Usually","19.9","2","16"
"KN153729","Do not know","Never went to school","Other professional qualifications e.g., nursing, teaching","£31,000 to £51,999","16","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Sometimes","21.0","96","76"
"YJ329311","Never went to school","Prefer not to answer","O levels/GCSEs or equivalent","£18,000 to £30,999","45","Usually",NA,"Never/rarely",NA,"Doing unpaid or voluntary work","Walk","Sometimes","10.1","28","49"
"ZO136313","Prefer not to answer","Prefer not to answer","CSEs or equivalent","£31,000 to £51,999","13","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","21.0","95","74"
"PA836343","Prefer not to answer","Prefer not to answer","O levels/GCSEs or equivalent","£31,000 to £51,999","98",NA,NA,NA,NA,"Unemployed",NA,NA,"9.9","59","73"
"HI586373","Still in full time education","Prefer not to answer","A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£31,000 to £51,999","11",NA,NA,NA,NA,"Unemployed",NA,NA,"2.3","26","75"
"WJ961909","Do not know","Still in full time education","O levels/GCSEs or equivalent","Less than £18,000","21","Never/rarely","Usually","Sometimes",NA,"Doing unpaid or voluntary work","Work from home","Usually","12.6","18","22"
"FQ962898","Do not know","Do not know","Prefer not to answer","£52,000 to £100,000","65","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","13.8","48","54"
"AL697103","Still in full time education","Still in full time education","College or University degree|A levels/AS levels/BTEC or equivalent|O levels/GCSEs or equivalent","£52,000 to £100,000","92","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Never/rarely","1.5","22","74"
"MV152329","Do not know","Do not know","College or University degree|A levels/AS levels/BTEC or equivalent","Less than £18,000","98","Prefer not to answer",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","13.5","16","4"
"NA550072","Never went to school","Never went to school","CSEs or equivalent","£31,000 to £51,999","8","Never/rarely","Prefer not to answer","Always",NA,"In paid employment or self-employed","Work from home","Sometimes","20.8","59","62"
"EK581022","Never went to school","Never went to school","None of the above","£31,000 to £51,999","71",NA,NA,NA,NA,"Retired; Full or part-time student",NA,NA,"5.6","40","12"
"IY174019","Still in full time education","Still in full time education","Prefer not to answer","£52,000 to £100,000","34",NA,NA,NA,NA,"Retired",NA,NA,"12.5","91","9"
"WD327079","Do not know","Prefer not to answer","College or University degree|A levels/AS levels/BTEC or equivalent","£18,000 to £30,999","60",NA,NA,NA,NA,"Retired",NA,NA,"3.0","70","20"
"PC164185","Prefer not to answer","Still in full time education","O levels/GCSEs or equivalent","£52,000 to £100,000","18","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Usually","22.4","11","54"
"ZU364944","Never went to school","Still in full time education","NVQ or HND or HNC or equivalent","£31,000 to £51,999","34",NA,NA,NA,NA,"Retired",NA,NA,"9.1","87","70"
"KF123631","Prefer not to answer","Still in full time education","CSEs or equivalent","£52,000 to £100,000","14","Sometimes",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Usually","13.4","31","71"
"JE328376","Prefer not to answer","Never went to school","A levels/AS levels/BTEC or equivalent","Less than £18,000","78","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Walk","Prefer not to answer","10.4","71","7"
"JJ255277","Still in full time education","Prefer not to answer","Other professional qualifications e.g., nursing, teaching","Do not know","91","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Bus or coach","Do not know","6.4","98","14"
"XT671959","Do not know","Prefer not to answer","O levels/GCSEs or equivalent","Less than £18,000","70","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Sometimes","11.4","68","4"
"AB859478","Do not know","Do not know","O levels/GCSEs or equivalent","£31,000 to £51,999","62","Usually",NA,"Never/rarely",NA,"In paid employment or self-employed","Car or motor vehicle","Never/rarely","8.9","87","43"
"YW689783","Still in full time education","Still in full time education","CSEs or equivalent","£18,000 to £30,999","72","Never/rarely",NA,"Never/rarely",NA,"In paid employment or self-employed","Work from home","Never/rarely","11.1","95","56"
"YD304066","Never went to school","Prefer not to answer","Prefer not to answer","Less than £18,000","19",NA,NA,NA,NA,"Retired",NA,NA,"19.3","78","72"
