"pid","country_at_reg","region_at_reg"
"GA616554","England","London"
"MV133299","England","North West"
"DL415315","England","North East"
"CQ930118","Scotland","West Midlands"
"YP457307","Wales","London"
"KF439804","Wales","East Midlands"
"LO338516","England","North West"
"AA819323","England","East Midlands"
"CS804103","England","North West"
"JG890738","England","East Midlands"
"JR971127","England","South East"
"UI854430","England","East of England"
"TR543316","Scotland","North West"
"CJ960821","England","South East"
"PV218675","England","Yorkshire and the Humber"
"FX353125","Wales","East Midlands"
"BW426833","England","East Midlands"
"ZJ949677","England","South East"
"PK850670","Northern Ireland","London"
"RV989628","England","London"
"CX463682","England",NA
"CA714262","England","North West"
"CN283698","England","East Midlands"
"HO953082","England","South West"
"SM769913","England","London"
"GI420172","England","South West"
"TA888885","England","London"
"KJ763783","England","South East"
"UD244972","Wales","West Midlands"
"TA972856","Northern Ireland","North East"
"LH372148","England","Yorkshire and the Humber"
"MH952574","England","South East"
"WS650428","England","South East"
"VS826005","Northern Ireland",NA
"CP959627","England","South East"
"ZT125192","England","London"
"WI943228","England","East Midlands"
"SY854566","England","East Anglia"
"JT214193","Wales","Yorkshire and the Humber"
"QF107273","England","East of England"
"YA119345","England","West Midlands"
"XP998084","England","South West"
"YG375466","Scotland","South East"
"CG789853","Northern Ireland","London"
"VT558147","Wales","West Midlands"
"PS313088","England","Yorkshire and the Humber"
"KE172150","England","London"
"FU592115","England","South West"
"CY325033","England","London"
"PP930323","England","East Anglia"
"OH396430","England","South East"
"NT331814","England","East of England"
"KO756376","England","Yorkshire and the Humber"
"SW668609","England","South East"
"DQ962537","England","South East"
"ZL626671","England","South East"
"EA861544","England","West Midlands"
"VU928473","England","Yorkshire and the Humber"
"NK746745","England","North West"
"JK438693","England","North East"
"ZG788400","England","South West"
"CC455079","England","North West"
"WD878863","England","North East"
"IM301130","England","Yorkshire and the Humber"
"RY233790","Wales","London"
"AJ201384","Wales","North West"
"VD248989","England","South East"
"PQ399637","England","East of England"
"AZ368842","England","North West"
"FM796135","Wales",NA
"JJ825461","Scotland","South East"
"ZK699047","England","Yorkshire and the Humber"
"FA931949","England","South East"
"MS483341","Wales","West Midlands"
"RW173766","England","North East"
"AQ297287","England",NA
"JV392528","England","North West"
"TR591372","England","South East"
"ZS679244","England","West Midlands"
"OQ388051","England","North West"
"TB276841","England","West Midlands"
"LA980458","England","Yorkshire and the Humber"
"CH630906","England","South East"
"KU881748","England","West Midlands"
"TP307388","England","West Midlands"
"MS449444","England","North West"
"FO933946","England","West Midlands"
"RB863019","England","North East"
"WY314515","England","North East"
"OZ368397","England","North East"
"EF516173","England","South East"
"SJ155163","England","North East"
"ES116768","England","South West"
"BX800433","Scotland","London"
"WY187383","England","West Midlands"
"EC653156","Wales",NA
"EQ601926","England","East of England"
"WF307625","England","South East"
"ZE140347","Wales","North East"
"FV455235","England","North West"
"LV315402","England","East Anglia"
"KP526665","England","South West"
"RD318753","England","West Midlands"
"IV657902","England","South West"
"WN990290","England","North West"
"MR668963","England","South East"
"OD347738","England","East Anglia"
"QY800846","England","North West"
"WU152500",NA,"North West"
"XN444205","England","South East"
"TQ153606","England","London"
"KS847723","Northern Ireland","East Midlands"
"JS685608","England","East of England"
"AZ930835","England","London"
"TX181593","England","East Midlands"
"NT957812","England","South East"
"BD497752","England","East Midlands"
"TW675741","England","Yorkshire and the Humber"
"WQ562463","England","West Midlands"
"KO543611","England","South East"
"ZE621962","England","West Midlands"
"XA324391","England","North East"
"EN124522","England","Yorkshire and the Humber"
"JL925683","Wales","East of England"
"FK918021","England","North East"
"JI861893","England","East of England"
"ZV916361","England","North West"
"ZJ690134","England","South East"
"AL601113","England","Yorkshire and the Humber"
"BV748394","England","South East"
"BS320460","England","East Anglia"
"ZP423467","England","West Midlands"
"JJ786990","England","South East"
"JO534870",NA,"East Anglia"
"KM264551","England","East Anglia"
"VQ245983","England","West Midlands"
"UT412579","England","North West"
"NB967710","England","North West"
"ED839174","England","North West"
"OP378835","England","Yorkshire and the Humber"
"EW696366","England","West Midlands"
"WE710146","England","North East"
"KD480471","England","London"
"BU230722","England","East of England"
"DQ834046","England","East Midlands"
"MW718026","England","South West"
"QB957266","England","North East"
"BK619769","England","East Midlands"
"JZ988365","England","North East"
"DF793054","England","West Midlands"
"AQ163417","England","East of England"
"ZC908512","Wales","West Midlands"
"WV626508","England","East Midlands"
"RC863939","England","East of England"
"BM512422","England","East Midlands"
"BN894158","Northern Ireland","North East"
"OL994998","Wales","East of England"
"WY212971","England","North West"
"TY182155","England","North West"
"IG234495","England","South East"
"QJ114103","England","East Midlands"
"II321379","England","London"
"VL941597","Scotland","East Midlands"
"TM233244","England","North West"
"LV762829","England","South East"
"TH342681","England","North East"
"BE606876","England","Yorkshire and the Humber"
"IL699628","Scotland","West Midlands"
"BJ966342","England","South East"
"LM362860",NA,"East Midlands"
"OF733404","England","East Midlands"
"XT780717","England","South East"
"VL704070","England","Yorkshire and the Humber"
"BR685323","England","South West"
"EZ642880","England","East of England"
"CD900483","England","London"
"CB735761","Wales","North East"
"ZT856217","England","East Midlands"
"TQ764836","England","East of England"
"DS923370","England","London"
"QS126054","England","East Midlands"
"KW994797","England","South East"
"AD263203","England","South West"
"VC423053","England","Yorkshire and the Humber"
"YB218486","England","South East"
"XF318258","Northern Ireland","London"
"NS287669","Wales","West Midlands"
"JL316789","England","West Midlands"
"EK460939","England","West Midlands"
"SU685175","England","London"
"AK550238","Northern Ireland","East Midlands"
"RL625928","England","South West"
"RM192886","England","East Anglia"
"WP344471","England","West Midlands"
"FN940040","Northern Ireland","East Midlands"
"IX209517","England","East of England"
"IH661524","England","London"
"RA301698","England","South West"
"TF133863","England","South East"
"CS289223","England","East of England"
"HN585716","Scotland","Yorkshire and the Humber"
"EV765149","England","South East"
"VJ450989","Scotland",NA
"AI348313","England","South East"
"OB632698","England","South West"
"TL876049","Wales","London"
"XD207750","England","South East"
"JC224203","England","South West"
"AF679670","England","North West"
"UM973328","England","Yorkshire and the Humber"
"HL325357","England","Yorkshire and the Humber"
"ZE243452","Scotland","London"
"FT206296","England","South West"
"AA823967","England","North West"
"AO627557","Wales","North West"
"EU225547","England","South East"
"VS237022","Wales","East Anglia"
"DT843717","England","East Midlands"
"RZ571819","England","South West"
"EF854326","England","London"
"NS355817","England","Yorkshire and the Humber"
"AJ542297","England","North West"
"ZG843382","England","South East"
"QZ478582","England","South West"
"QB862573","England","North East"
"LM676628","England","London"
"JY435603","England","South East"
"QT426902","England","East Anglia"
"KA584845","England","North West"
"RH537943","Wales","North East"
"RU242177","England","London"
"NC496370","England","South West"
"FL331620","England","South West"
"AB200813","Wales","East Midlands"
"ZI648221","England","East Midlands"
"UY167151","England","East Midlands"
"HM476043","England","London"
"MW481396","England","South West"
"BC749600","England","London"
"PW382570","England",NA
"TM462115","England","North East"
"YD231686","England","East of England"
"AS523556","England","London"
"HS964571","England","East Anglia"
"CH370499","England","South East"
"OZ440747","England","South East"
"SA425741","England","London"
"BL793056","England","East of England"
"IL789781","England","South West"
"KH187268","England","East of England"
"GU148513","England","North East"
"MP323370","England","London"
"PN658337","Scotland","South East"
"LE154088","England","Yorkshire and the Humber"
"JC318770","Wales","South East"
"PT887609","England","East Midlands"
"CO907757","Scotland","West Midlands"
"AN856602","Scotland","London"
"XA518719","England","North East"
"WM616624","England","North East"
"EJ960827",NA,"London"
"SL754127","Wales","South West"
"OA278185","England","East Midlands"
"BZ570178","Wales","Yorkshire and the Humber"
"IE589330","England","North East"
"EH150002","Scotland","London"
"HL838159","England","North East"
"WQ239931","England","London"
"RB614338","England","South East"
"SC205688","England","London"
"JF324914","England","South East"
"WA707221","England","South West"
"ZI275349","England","London"
"FH710940","England","East Anglia"
"YH352962","Scotland",NA
"OY817851","England","East of England"
"UC223709","England","East of England"
"MX492576","England","East Anglia"
"RR206878","England","East of England"
"VB693176","England","London"
"YW128310","England","North West"
"SP866010","England","East of England"
"VZ678822","Wales","Yorkshire and the Humber"
"MK803814","England","North West"
"NJ915751","England","North East"
"TF244618","England","East of England"
"DB922572","England","West Midlands"
"XW183882","England","North East"
"QW343985","England","East Midlands"
"XE625777","England","East Midlands"
"FA143869","England",NA
"QT788941","England","West Midlands"
"BA559693","England",NA
"OJ421908","England","East Midlands"
"KF875273","England","West Midlands"
"DJ444066","England","South East"
"RT539085","Scotland","South East"
"EP907929","England","East of England"
"MQ191644","Northern Ireland","East Anglia"
"WK915641","England","East of England"
"VR670467","England","North East"
"SL281719","England","East Midlands"
"PW819837","England","East Midlands"
"NZ846916","England","South East"
"UM621942","England","London"
"YT633062","England","London"
"RX292623","England","East Midlands"
"LK655982","England","East Midlands"
"HK280826","Scotland","East Anglia"
"PA488857","England","West Midlands"
"GZ865746","England","North East"
"RR781716","England","North East"
"ON131630","England","East of England"
"PQ938222","England","East Anglia"
"IA892151",NA,"South West"
"PH708342","England","South East"
"KY852141","England","South West"
"CH674113","England","North East"
"XH542928","England","Yorkshire and the Humber"
"OW326545","England","North West"
"PX172042","England","South East"
"AS977518","England","London"
"SY654504","England","South West"
"IB464305","England","East of England"
"JC754113","England","Yorkshire and the Humber"
"NM114960","England","North East"
"TJ737346","Scotland","North East"
"CA985384","England","West Midlands"
"XT993451","England","South West"
"OJ703802","England","North East"
"TY828304","Wales","North East"
"EG272823","Wales","East Midlands"
"KJ374415","England","East Midlands"
"AA131813","England","London"
"CI203870","England","Yorkshire and the Humber"
"QM320851","England","East of England"
"VW114584","England","East Midlands"
"YO940667","Wales","Yorkshire and the Humber"
"XE313849","England","South East"
"XE735193","England","Yorkshire and the Humber"
"PE806941","England","East Midlands"
"BB795741","England","South West"
"JC990316","England","North West"
"XU394375","England","North West"
"TK374735","England","West Midlands"
"OX227474","England","East Midlands"
"NB552025","England","South East"
"IE758946","England","North East"
"VF357928","Wales",NA
"BW750130","England","South East"
"WZ145652","England","Yorkshire and the Humber"
"BB526975","England","North East"
"DQ618643","England","East Anglia"
"EL883885","Wales","South East"
"MS101991","England","South West"
"CB227738","England","East of England"
"ST167575","Scotland","East Midlands"
"ZY915768","Scotland","North East"
"XB509885","England","West Midlands"
"RW497587","England","South East"
"JP743268","England","London"
"TZ225408","Northern Ireland","North West"
"WH991860","Scotland","East Midlands"
"UJ519847","England","North West"
"LD209142","England","North East"
"YF816840","England","North West"
"OQ331650","Wales","London"
"XM373112","England","London"
"QI359916","Northern Ireland","South East"
"HV209667","England","South West"
"CS424074","England","South West"
"LL322166","England","East Midlands"
"FZ280039","England","South West"
"SB674362","Scotland","East of England"
"JL914706","Scotland","North East"
"KR837446","England","South West"
"SU380172","England","East of England"
"ZW920024","England","London"
"JW481859","England","North West"
"LQ346842","England","Yorkshire and the Humber"
"YA534307","England","Yorkshire and the Humber"
"XP430360","England","East Midlands"
"BM727623",NA,"South West"
"AM256965","England","North East"
"OK917012","England","East Anglia"
"ST788372","Wales","Yorkshire and the Humber"
"QR211889","England","South West"
"XA806958","England","West Midlands"
"ER137016","England","East Midlands"
"TM421236","England","London"
"SN654814","England","East Midlands"
"PL684881","Scotland","East Midlands"
"WB483859","Wales","East of England"
"SX413735","England","North East"
"KM235380","Northern Ireland","North West"
"JL225289","England","London"
"IX107221","England","East Midlands"
"PN516374","Wales","North West"
"BT686881","Northern Ireland","South West"
"EF147360","England","East of England"
"ZV814842","England","East of England"
"HX741495","England","East Midlands"
"NC972860","England","South West"
"VS863393","England","South West"
"NO504732","Wales","West Midlands"
"VC216866","England","South East"
"SS188601","Wales","North East"
"EU697802","England","East Anglia"
"CC519514","England","Yorkshire and the Humber"
"QY819407","England","South East"
"KH511770","England","East Midlands"
"IF906020","England","East Midlands"
"MZ807314","England","West Midlands"
"TM112257","England","London"
"LZ951328","England","East of England"
"ZL178620","England","West Midlands"
"AK327768","England","West Midlands"
"HU105779","England","South West"
"LB305897","England","East Midlands"
"FK938351","Scotland","East Anglia"
"GQ412981","Wales","East Midlands"
"EX851551","England","North West"
"XG219474","Scotland","West Midlands"
"AT874243","England","South East"
"KI708576","England","Yorkshire and the Humber"
"QB762130","England","North West"
"ND671737","Wales","East of England"
"XA307835","England","Yorkshire and the Humber"
"EG126660","England","North East"
"CG233843","England","West Midlands"
"FY860668","England","North West"
"MZ665738","England","South East"
"NW361915","England","South West"
"SX751427","England","North West"
"BJ707559","England","South West"
"LY912026","England","East of England"
"FR194965","England","South East"
"HA505131","England","East Anglia"
"NN399520","England","London"
"LM316175","England","South East"
"RE554221","England","Yorkshire and the Humber"
"XF247965","England","West Midlands"
"HG603300","England","South East"
"GJ309631","Northern Ireland","West Midlands"
"DP216813","England","North West"
"AL648149","England","North West"
"IG846069","Scotland","South East"
"JC936429","England","East Midlands"
"ZS520008","England","South West"
"OB579687","England","South West"
"ZM989929","England","South West"
"MK883106","England","London"
"KM178316","England","South East"
"FW337807","England","London"
"XJ815780","England","North East"
"ES742234","England","South East"
"FS130278","England","East of England"
"KK459125","England","East Anglia"
"JO651789","Wales",NA
"FU332027","England","West Midlands"
"AJ874627","England","London"
"MN359070","England","West Midlands"
"DN854553","Wales","Yorkshire and the Humber"
"RP234370","England","Yorkshire and the Humber"
"HM116611","Northern Ireland","North East"
"CH974183","England","East of England"
"ET761178","England","South East"
"DY664599","England","South East"
"YP968038","England","North East"
"XP708304","England","East of England"
"LK750524","England","South East"
"DK440545","Northern Ireland","London"
"NU702965","Wales","North East"
"QH512437","England","South East"
"UN794841","England","East Anglia"
"DD325792","Northern Ireland","North East"
"BY284145","England","East Midlands"
"ZW132182","England","East of England"
"JK908799","England","East Midlands"
"TX357671","Wales","South West"
"PT369076","England","South East"
"FS364639","Wales","London"
"NR535983","England","North East"
"MC371914","England",NA
"AL942573","England","South East"
"GJ148301","Northern Ireland",NA
"LV175637","Wales","Yorkshire and the Humber"
"AL380116","Wales","East Anglia"
"HM530995","England","East of England"
"VY638592","Wales","North West"
"ZE656627","England","Yorkshire and the Humber"
"KL642272","Scotland","East Midlands"
"YG473758","England","East of England"
"SE833054","England","South East"
"WT648217","England","South East"
"BN843168","England","South East"
"LS949887","Wales","Yorkshire and the Humber"
"JZ860780","Wales","East of England"
"OJ455886","England","Yorkshire and the Humber"
"KO645834","England","East Anglia"
"VC582751","England","Yorkshire and the Humber"
"EL784644","Wales","North West"
"BZ464012","England","North West"
"CK805122","England","East Midlands"
"UR606646","England","North East"
"MI919261","England","Yorkshire and the Humber"
"DD859417","England","London"
"FO852613","England","East of England"
"SN950228","England","South East"
"RW964780","England","North East"
"WZ459696","England","East of England"
"DF516726","England","North West"
"CU637309","England","North West"
"YT276111","Wales","East Anglia"
"GV455706","England","East Midlands"
"OK236796","England","South East"
"DH293165","England","North East"
"QU623662","Scotland","Yorkshire and the Humber"
"XG252896","England","South East"
"GA367659","England","Yorkshire and the Humber"
"CK313664","England","East of England"
"QJ830417","England","North West"
"IL673100","England","East of England"
"IG455948","England","East of England"
"EY990961","England","East Midlands"
"MT722047","England","East Midlands"
"YK349039","England","North West"
"YF713368","England","South East"
"YD486176","England","West Midlands"
"TN357040","Wales","East Midlands"
"KI774217","England","South West"
"IM570326","England","South East"
"GI660674","England","South East"
"EG462405","England","East Anglia"
"IT253337","England","East Anglia"
"UD990393","England","East Midlands"
"TY944852","England","East of England"
"HR103513","Wales","Yorkshire and the Humber"
"LA738225","England","West Midlands"
"AL242777","England","South East"
"WY900474","England","South West"
"QY779420","England","North West"
"TN213221","England","South West"
"VO211468","England","London"
"TM532839","England","South West"
"HN730748","England","West Midlands"
"MU209151","England","South East"
"IJ577761","England","South East"
"RS673857","England","East Midlands"
"QN654390","England","South East"
"XY301107","England","East Midlands"
"YG239731","England","North West"
"TN162569","England","London"
"QT819929","England","North West"
"CQ821873","England","London"
"GL615954","England","East of England"
"ZM747439","England","West Midlands"
"PU134204","England","North West"
"TR267336","Wales","East Midlands"
"WJ559927","England","North West"
"JN371182","England","East Anglia"
"IO174620","England","East of England"
"ZR629489","England","North East"
"DA209120","England","London"
"BN407286","England",NA
"UV645484","England","North West"
"FP693610","England","London"
